"id","name","code","state_id/id","regiune"
"1","Alba Iulia","Alba ","l10n_ro.RO_AB","Centru"
"2","Barabant","Barab","l10n_ro.RO_AB","Centru"
"3","Micesti","Mices","l10n_ro.RO_AB","Centru"
"4","Oarda","Oarda","l10n_ro.RO_AB","Centru"
"5","Paclisa","Pacli","l10n_ro.RO_AB","Centru"
"6","Ciugud","Ciugu","l10n_ro.RO_AB","Centru"
"7","Drambar","Dramb","l10n_ro.RO_AB","Centru"
"8","Limba","Limba","l10n_ro.RO_AB","Centru"
"9","Hapria","Hapri","l10n_ro.RO_AB","Centru"
"10","Seusa","Seusa","l10n_ro.RO_AB","Centru"
"11","Teleac","Telea","l10n_ro.RO_AB","Centru"
"12","Abrud","Abrud","l10n_ro.RO_AB","Centru"
"13","Abrud-Sat","Abrud","l10n_ro.RO_AB","Centru"
"14","Gura Cornei","Gura ","l10n_ro.RO_AB","Centru"
"15","Soharu","Sohar","l10n_ro.RO_AB","Centru"
"16","Aiud","Aiud","l10n_ro.RO_AB","Centru"
"17","Aiudul de Sus","Aiudu","l10n_ro.RO_AB","Centru"
"18","Gambas","Gamba","l10n_ro.RO_AB","Centru"
"19","Magina","Magin","l10n_ro.RO_AB","Centru"
"20","Pagida","Pagid","l10n_ro.RO_AB","Centru"
"21","Ciumbrud","Ciumb","l10n_ro.RO_AB","Centru"
"22","Garbova de Jos","Garbo","l10n_ro.RO_AB","Centru"
"23","Garbova de Sus","Garbo","l10n_ro.RO_AB","Centru"
"24","Garbovita","Garbo","l10n_ro.RO_AB","Centru"
"25","Sancrai","Sancr","l10n_ro.RO_AB","Centru"
"26","Tifra","Tifra","l10n_ro.RO_AB","Centru"
"27","Blaj","Blaj","l10n_ro.RO_AB","Centru"
"28","Deleni-Obarsie","Delen","l10n_ro.RO_AB","Centru"
"29","Flitesti","Flite","l10n_ro.RO_AB","Centru"
"30","Izvoarele","Izvoa","l10n_ro.RO_AB","Centru"
"31","Petrisat","Petri","l10n_ro.RO_AB","Centru"
"32","Tiur","Tiur","l10n_ro.RO_AB","Centru"
"33","Veza","Veza","l10n_ro.RO_AB","Centru"
"34","Manarade","Manar","l10n_ro.RO_AB","Centru"
"35","Spatac","Spata","l10n_ro.RO_AB","Centru"
"36","Campeni","Campe","l10n_ro.RO_AB","Centru"
"37","Boncesti","Bonce","l10n_ro.RO_AB","Centru"
"38","Borlesti","Borle","l10n_ro.RO_AB","Centru"
"39","Botesti","Botes","l10n_ro.RO_AB","Centru"
"40","Certege","Certe","l10n_ro.RO_AB","Centru"
"41","Coasta Vascului","Coast","l10n_ro.RO_AB","Centru"
"42","Dandut","Dandu","l10n_ro.RO_AB","Centru"
"43","Dealu Bistrii","Dealu","l10n_ro.RO_AB","Centru"
"44","Dealu Capsei","Dealu","l10n_ro.RO_AB","Centru"
"45","Dric","Dric","l10n_ro.RO_AB","Centru"
"46","Fata Abrudului","Fata ","l10n_ro.RO_AB","Centru"
"47","Floresti","Flore","l10n_ro.RO_AB","Centru"
"48","Furduiesti","Furdu","l10n_ro.RO_AB","Centru"
"49","Mihoesti","Mihoe","l10n_ro.RO_AB","Centru"
"50","Motorasti","Motor","l10n_ro.RO_AB","Centru"
"51","Peste Valea Bistrii","Peste","l10n_ro.RO_AB","Centru"
"52","Poduri","Podur","l10n_ro.RO_AB","Centru"
"53","Sorlita","Sorli","l10n_ro.RO_AB","Centru"
"54","Tomusesti","Tomus","l10n_ro.RO_AB","Centru"
"55","Valea Bistrii","Valea","l10n_ro.RO_AB","Centru"
"56","Valea Caselor","Valea","l10n_ro.RO_AB","Centru"
"57","Varsi","Varsi","l10n_ro.RO_AB","Centru"
"58","Cugir","Cugir","l10n_ro.RO_AB","Centru"
"59","Bocsitura","Bocsi","l10n_ro.RO_AB","Centru"
"60","Bucuru","Bucur","l10n_ro.RO_AB","Centru"
"61","Calene","Calen","l10n_ro.RO_AB","Centru"
"62","Feteni","Feten","l10n_ro.RO_AB","Centru"
"63","Goasele","Goase","l10n_ro.RO_AB","Centru"
"64","Mugesti","Muges","l10n_ro.RO_AB","Centru"
"65","Vinerea","Viner","l10n_ro.RO_AB","Centru"
"66","Ocna Mures","Ocna ","l10n_ro.RO_AB","Centru"
"67","Uioara de Jos","Uioar","l10n_ro.RO_AB","Centru"
"68","Uioara de Sus","Uioar","l10n_ro.RO_AB","Centru"
"69","Cisteiu de Mures","Ciste","l10n_ro.RO_AB","Centru"
"70","Micoslaca","Micos","l10n_ro.RO_AB","Centru"
"71","Razboieni-Cetate","Razbo","l10n_ro.RO_AB","Centru"
"72","Sebes","Sebes","l10n_ro.RO_AB","Centru"
"73","Lancram","Lancr","l10n_ro.RO_AB","Centru"
"74","Petresti","Petre","l10n_ro.RO_AB","Centru"
"75","Rahau","Rahau","l10n_ro.RO_AB","Centru"
"76","Zlatna","Zlatn","l10n_ro.RO_AB","Centru"
"77","Botesti","Botes","l10n_ro.RO_AB","Centru"
"78","Budeni","Buden","l10n_ro.RO_AB","Centru"
"79","Dealu Roatei","Dealu","l10n_ro.RO_AB","Centru"
"80","Dobrot","Dobro","l10n_ro.RO_AB","Centru"
"81","Dumbrava","Dumbr","l10n_ro.RO_AB","Centru"
"82","Fenes","Fenes","l10n_ro.RO_AB","Centru"
"83","Galati","Galat","l10n_ro.RO_AB","Centru"
"84","Izvoru Ampoiului","Izvor","l10n_ro.RO_AB","Centru"
"85","Patrangeni","Patra","l10n_ro.RO_AB","Centru"
"86","Pirita","Pirit","l10n_ro.RO_AB","Centru"
"87","Parau Gruiului","Parau","l10n_ro.RO_AB","Centru"
"88","Podu lui Paul","Podu ","l10n_ro.RO_AB","Centru"
"89","Runc","Runc","l10n_ro.RO_AB","Centru"
"90","Rusi","Rusi","l10n_ro.RO_AB","Centru"
"91","Suseni","Susen","l10n_ro.RO_AB","Centru"
"92","Trampoiele","Tramp","l10n_ro.RO_AB","Centru"
"93","Valea Mica","Valea","l10n_ro.RO_AB","Centru"
"94","Valtori","Valto","l10n_ro.RO_AB","Centru"
"95","Albac","Albac","l10n_ro.RO_AB","Centru"
"96","Barasti","Baras","l10n_ro.RO_AB","Centru"
"97","Budaiesti","Budai","l10n_ro.RO_AB","Centru"
"98","Cionesti","Cione","l10n_ro.RO_AB","Centru"
"99","Costesti","Coste","l10n_ro.RO_AB","Centru"
"100","Dealu Lamasoi","Dealu","l10n_ro.RO_AB","Centru"
"101","Deve","Deve","l10n_ro.RO_AB","Centru"
"102","Dupa Plese","Dupa ","l10n_ro.RO_AB","Centru"
"103","Fata","Fata","l10n_ro.RO_AB","Centru"
"104","Plesesti","Plese","l10n_ro.RO_AB","Centru"
"105","Potionci","Potio","l10n_ro.RO_AB","Centru"
"106","Rogoz","Rogoz","l10n_ro.RO_AB","Centru"
"107","Rosesti","Roses","l10n_ro.RO_AB","Centru"
"108","Rusesti","Ruses","l10n_ro.RO_AB","Centru"
"109","Sohodol","Sohod","l10n_ro.RO_AB","Centru"
"110","Tamboresti","Tambo","l10n_ro.RO_AB","Centru"
"111","Almasu Mare","Almas","l10n_ro.RO_AB","Centru"
"112","Almasu de Mijloc","Almas","l10n_ro.RO_AB","Centru"
"113","Bradet","Brade","l10n_ro.RO_AB","Centru"
"114","Cheile Cibului","Cheil","l10n_ro.RO_AB","Centru"
"115","Cib","Cib","l10n_ro.RO_AB","Centru"
"116","Glod","Glod","l10n_ro.RO_AB","Centru"
"117","Nadastia","Nadas","l10n_ro.RO_AB","Centru"
"118","Arieseni","Aries","l10n_ro.RO_AB","Centru"
"119","Avramesti","Avram","l10n_ro.RO_AB","Centru"
"120","Bubesti","Bubes","l10n_ro.RO_AB","Centru"
"121","Casa de Piatra","Casa ","l10n_ro.RO_AB","Centru"
"122","Cobles","Coble","l10n_ro.RO_AB","Centru"
"123","Dealu Bajului","Dealu","l10n_ro.RO_AB","Centru"
"124","Fata Cristesei","Fata ","l10n_ro.RO_AB","Centru"
"125","Fata Lapusului","Fata ","l10n_ro.RO_AB","Centru"
"126","Galbena","Galbe","l10n_ro.RO_AB","Centru"
"127","Hodobana","Hodob","l10n_ro.RO_AB","Centru"
"128","Izlaz","Izlaz","l10n_ro.RO_AB","Centru"
"129","Pantesti","Pante","l10n_ro.RO_AB","Centru"
"130","Patrahaitesti","Patra","l10n_ro.RO_AB","Centru"
"131","Poienita","Poien","l10n_ro.RO_AB","Centru"
"132","Ravicesti","Ravic","l10n_ro.RO_AB","Centru"
"133","Sturu","Sturu","l10n_ro.RO_AB","Centru"
"134","Stei-Arieseni","Stei-","l10n_ro.RO_AB","Centru"
"135","Vanvucesti","Vanvu","l10n_ro.RO_AB","Centru"
"136","Avram Iancu","Avram","l10n_ro.RO_AB","Centru"
"137","Achimetesti","Achim","l10n_ro.RO_AB","Centru"
"138","Avramesti","Avram","l10n_ro.RO_AB","Centru"
"139","Badai","Badai","l10n_ro.RO_AB","Centru"
"140","Boldesti","Bolde","l10n_ro.RO_AB","Centru"
"141","Calugaresti","Calug","l10n_ro.RO_AB","Centru"
"142","Casoaia","Casoa","l10n_ro.RO_AB","Centru"
"143","Candesti","Cande","l10n_ro.RO_AB","Centru"
"144","Carasti","Caras","l10n_ro.RO_AB","Centru"
"145","Cartulesti","Cartu","l10n_ro.RO_AB","Centru"
"146","Cocesti","Coces","l10n_ro.RO_AB","Centru"
"147","Cocosesti","Cocos","l10n_ro.RO_AB","Centru"
"148","Coroiesti","Coroi","l10n_ro.RO_AB","Centru"
"149","Dealu Crisului","Dealu","l10n_ro.RO_AB","Centru"
"150","Dolesti","Doles","l10n_ro.RO_AB","Centru"
"151","Dumacesti","Dumac","l10n_ro.RO_AB","Centru"
"152","Gojeiesti","Gojei","l10n_ro.RO_AB","Centru"
"153","Heleresti","Heler","l10n_ro.RO_AB","Centru"
"154","Incesti","Inces","l10n_ro.RO_AB","Centru"
"155","Jojei","Jojei","l10n_ro.RO_AB","Centru"
"156","Martesti","Marte","l10n_ro.RO_AB","Centru"
"157","Orgesti","Orges","l10n_ro.RO_AB","Centru"
"158","Patrutesti","Patru","l10n_ro.RO_AB","Centru"
"159","Plai","Plai","l10n_ro.RO_AB","Centru"
"160","Puselesti","Pusel","l10n_ro.RO_AB","Centru"
"161","Soicesti","Soice","l10n_ro.RO_AB","Centru"
"162","Stertesti","Stert","l10n_ro.RO_AB","Centru"
"163","Tarsa","Tarsa","l10n_ro.RO_AB","Centru"
"164","Tarsa-Plai","Tarsa","l10n_ro.RO_AB","Centru"
"165","Valea Maciului","Valea","l10n_ro.RO_AB","Centru"
"166","Valea Utului","Valea","l10n_ro.RO_AB","Centru"
"167","Verdesti","Verde","l10n_ro.RO_AB","Centru"
"168","Vidrisoara","Vidri","l10n_ro.RO_AB","Centru"
"169","Baia de Aries","Baia ","l10n_ro.RO_AB","Centru"
"170","Brazesti","Braze","l10n_ro.RO_AB","Centru"
"171","Cioara de Sus","Cioar","l10n_ro.RO_AB","Centru"
"172","Muncelu","Munce","l10n_ro.RO_AB","Centru"
"173","Sartas","Sarta","l10n_ro.RO_AB","Centru"
"174","Simulesti","Simul","l10n_ro.RO_AB","Centru"
"175","Berghin","Bergh","l10n_ro.RO_AB","Centru"
"176","Ghirbom","Ghirb","l10n_ro.RO_AB","Centru"
"177","Henig","Henig","l10n_ro.RO_AB","Centru"
"178","Straja","Straj","l10n_ro.RO_AB","Centru"
"179","Bistra","Bistr","l10n_ro.RO_AB","Centru"
"180","Aronesti","Arone","l10n_ro.RO_AB","Centru"
"181","Balesti","Bales","l10n_ro.RO_AB","Centru"
"182","Balesti-Catun","Bales","l10n_ro.RO_AB","Centru"
"183","Barlesti","Barle","l10n_ro.RO_AB","Centru"
"184","Cheleteni","Chele","l10n_ro.RO_AB","Centru"
"185","Ciuldesti","Ciuld","l10n_ro.RO_AB","Centru"
"186","Cretesti","Crete","l10n_ro.RO_AB","Centru"
"187","Dealu Muntelui","Dealu","l10n_ro.RO_AB","Centru"
"188","Dambureni","Dambu","l10n_ro.RO_AB","Centru"
"189","Durasti","Duras","l10n_ro.RO_AB","Centru"
"190","Ganesti","Ganes","l10n_ro.RO_AB","Centru"
"191","Garde","Garde","l10n_ro.RO_AB","Centru"
"192","Hodisesti","Hodis","l10n_ro.RO_AB","Centru"
"193","Hudricesti","Hudri","l10n_ro.RO_AB","Centru"
"194","Lipaia","Lipai","l10n_ro.RO_AB","Centru"
"195","Lunca Larga","Lunca","l10n_ro.RO_AB","Centru"
"196","Lunca Merilor","Lunca","l10n_ro.RO_AB","Centru"
"197","Mihaiesti","Mihai","l10n_ro.RO_AB","Centru"
"198","Namas","Namas","l10n_ro.RO_AB","Centru"
"199","Novacesti","Novac","l10n_ro.RO_AB","Centru"
"200","Perjesti","Perje","l10n_ro.RO_AB","Centru"
"201","Poiana","Poian","l10n_ro.RO_AB","Centru"
"202","Poiu","Poiu","l10n_ro.RO_AB","Centru"
"203","Ratitis","Ratit","l10n_ro.RO_AB","Centru"
"204","Runcuri","Runcu","l10n_ro.RO_AB","Centru"
"205","Salagesti","Salag","l10n_ro.RO_AB","Centru"
"206","Stefanca","Stefa","l10n_ro.RO_AB","Centru"
"207","Tolacesti","Tolac","l10n_ro.RO_AB","Centru"
"208","Tomnatec","Tomna","l10n_ro.RO_AB","Centru"
"209","Trisoresti","Triso","l10n_ro.RO_AB","Centru"
"210","Taranesti","Taran","l10n_ro.RO_AB","Centru"
"211","Varsi-Rontu","Varsi","l10n_ro.RO_AB","Centru"
"212","Varsii Mari","Varsi","l10n_ro.RO_AB","Centru"
"213","Varsii Mici","Varsi","l10n_ro.RO_AB","Centru"
"214","Blandiana","Bland","l10n_ro.RO_AB","Centru"
"215","Acmariu","Acmar","l10n_ro.RO_AB","Centru"
"216","Ibru","Ibru","l10n_ro.RO_AB","Centru"
"217","Poieni","Poien","l10n_ro.RO_AB","Centru"
"218","Racatau","Racat","l10n_ro.RO_AB","Centru"
"219","Bucium","Buciu","l10n_ro.RO_AB","Centru"
"220","Anghelesti","Anghe","l10n_ro.RO_AB","Centru"
"221","Bisericani","Biser","l10n_ro.RO_AB","Centru"
"222","Bucium-Sat","Buciu","l10n_ro.RO_AB","Centru"
"223","Cerbu","Cerbu","l10n_ro.RO_AB","Centru"
"224","Ciuculesti","Ciucu","l10n_ro.RO_AB","Centru"
"225","Coleseni","Coles","l10n_ro.RO_AB","Centru"
"226","Dogaresti","Dogar","l10n_ro.RO_AB","Centru"
"227","Feresti","Feres","l10n_ro.RO_AB","Centru"
"228","Floresti","Flore","l10n_ro.RO_AB","Centru"
"229","Gura Izbitei","Gura ","l10n_ro.RO_AB","Centru"
"230","Helesti","Heles","l10n_ro.RO_AB","Centru"
"231","Izbicioara","Izbic","l10n_ro.RO_AB","Centru"
"232","Izbita","Izbit","l10n_ro.RO_AB","Centru"
"233","Jurcuiesti","Jurcu","l10n_ro.RO_AB","Centru"
"234","Lupulesti","Lupul","l10n_ro.RO_AB","Centru"
"235","Magura","Magur","l10n_ro.RO_AB","Centru"
"236","Muntari","Munta","l10n_ro.RO_AB","Centru"
"237","Petreni","Petre","l10n_ro.RO_AB","Centru"
"238","Poiana","Poian","l10n_ro.RO_AB","Centru"
"239","Poieni","Poien","l10n_ro.RO_AB","Centru"
"240","Stalnisoara","Staln","l10n_ro.RO_AB","Centru"
"241","Valea Abruzel","Valea","l10n_ro.RO_AB","Centru"
"242","Valea Alba","Valea","l10n_ro.RO_AB","Centru"
"243","Valea Cerbului","Valea","l10n_ro.RO_AB","Centru"
"244","Valea Negrilesii","Valea","l10n_ro.RO_AB","Centru"
