"id","country_id/id","code","name"
"RO_AB","base.ro","AB","Alba"
"RO_AG","base.ro","AG","Arges"
"RO_AR","base.ro","AR","Arad"
"RO_B","base.ro","B","Bucuresti"
"RO_BC","base.ro","BC","Bacau"
"RO_BH","base.ro","BH","Bihor"
"RO_BN","base.ro","BN","Bistrita-Nasaud"
"RO_BR","base.ro","BR","Braila"
"RO_BT","base.ro","BT","Botosani"
"RO_BV","base.ro","BV","Brasov"
"RO_BZ","base.ro","BZ","Buzau"
"RO_CJ","base.ro","CJ","Cluj"
"RO_CL","base.ro","CL","Calarasi"
"RO_CS","base.ro","CS","Caras Severin"
"RO_CT","base.ro","CT","Constanta"
"RO_CV","base.ro","CV","Covasna"
"RO_DB","base.ro","DB","Dambovita"
"RO_DJ","base.ro","DJ","Dolj"
"RO_GJ","base.ro","GJ","Gorj"
"RO_GL","base.ro","GL","Galati"
"RO_GR","base.ro","GR","Giurgiu"
"RO_HD","base.ro","HD","Hunedoara"
"RO_HR","base.ro","HR","Harghita"
"RO_IF","base.ro","IF","Ilfov"
"RO_IL","base.ro","IL","Ialomita"
"RO_IS","base.ro","IS","Iasi"
"RO_MH","base.ro","MH","Mehedinti"
"RO_MM","base.ro","MM","Maramures"
"RO_MS","base.ro","MS","Mures"
"RO_NT","base.ro","NT","Neamt"
"RO_OT","base.ro","OT","Olt"
"RO_PH","base.ro","PH","Prahova"
"RO_SB","base.ro","SB","Sibiu"
"RO_SJ","base.ro","SJ","Salaj"
"RO_SM","base.ro","SM","Satu Mare"
"RO_SV","base.ro","SV","Suceava"
"RO_TL","base.ro","TL","Tulcea"
"RO_TM","base.ro","TM","Timis"
"RO_TR","base.ro","TR","Teleorman"
"RO_VL","base.ro","VL","Valcea"
"RO_VN","base.ro","VN","Vrancea"
"RO_VS","base.ro","VS","Vaslui"
